curveID,CO2_setpoint,Tblock_setpoint,HHMMSS,Obs,FTime,EBal?,Photo,Cond,Ci,Trmmol,VpdL,CTleaf,Area,BLC_1,StmRat,BLCond,Tair,Tleaf,TBlk,CO2R,CO2S,H2OR,H2OS,RH_R,RH_S,Flow,PARi,PARo,Press,CsMch,HsMch,StableF,BLCslope,BLCoffst,f_parin,f_parout,alphaK,Status,n
3,50,20,52475.8,68,1932.6,0,-0.23,0.678866667,50.66,5.15,0.943533333,21.44333333,6,1.42,1,2.84,20.48,21.44333333,19.97,50.85666667,50.762,0.595133333,15.82193333,2.522,67.062,199.74,1600.266667,0.866666667,102.5,14.1,0.793,1,-0.22,2.74,1,0,0.16,111135,165
3,400,20,52897.73333,83,2354.8,0,9.658666667,0.724066667,334.8666667,5.25,0.9138,21.446,6,1.42,1,2.84,20.49,21.446,19.97,400.294,365.502,0.587933333,16.1194,2.49,68.28066667,199.6933333,1600,0.466666667,102.5,19.9,0.788,1,-0.22,2.74,1,0,0.16,111115,165
3,600,20,53182.93333,98,2639,0,11.5,0.738066667,518,5.28,0.904933333,21.44266667,6,1.42,1,2.84,20.49,21.44266667,19.97,599.2086667,555.7473333,0.588333333,16.2004,2.49,68.63466667,199.7,1600,0.266666667,102.5,22.2,0.791,1,-0.22,2.74,1,0,0.16,111115,165
3,900,20,53538.73333,113,2995.5,0,12.20666667,0.722066667,806,5.26,0.917266667,21.48066667,6,1.42,1,2.84,20.49,21.48066667,19.97,900.8126667,850.638,0.587466667,16.1396,2.49,68.36933333,199.72,1600,0.333333333,102.5,24.3,0.796,1,-0.22,2.74,1,0,0.16,111115,165
3,1200,20,53971,128,3427.633333,0,12.2,0.661466667,1090,5.130666667,0.960266667,21.512,6,1.42,1,2.84,20.49,21.512,19.97,1200.636667,1146.256667,0.5848,15.76593333,2.478666667,66.78733333,199.7,1600,0.8,102.5,25.2,0.798,1,-0.22,2.74,1,0,0.16,111115,165
3,1500,20,54264.86667,143,3721.6,0,12.22,0.599533333,1380,4.98,1.01,21.54533333,6,1.42,1,2.84,20.49,21.54533333,19.97,1500.49,1442.132667,0.587866667,15.33126667,2.490666667,64.946,199.6533333,1599.133333,0.266666667,102.5,25.1,0.802,0.94,-0.22,2.74,1,0,0.16,111115,165
3,1800,20,54762.73333,158,4219,0,12.2,0.484333333,1660,4.632,1.124,21.61,6,1.42,1,2.84,20.49066667,21.61,19.97,1799.180667,1738.312,0.584466667,14.30633333,2.475333333,60.58933333,199.7266667,1599,0.133333333,102.5,24.1,0.798,0.7,-0.22,2.74,1,0,0.16,111115,165
4,400,30,55571.66667,8,217.5,0,10.3,0.363533333,301,6.142666667,1.9,28.09266667,6,1.42,1,2.84,29.21,28.09266667,30.118,398.7693333,361.086,0.590066667,18.7062,1.486,47.09333333,199.6666667,1600,0.266666667,102.5,20.6,0.818,1,-0.22,2.74,1,0,0.16,111115,165
4,300,30,56086.73333,23,733.4333333,0,8.185333333,0.408866667,226,6.49,1.81,28.14533333,6,1.42,1,2.84,29.26,28.14533333,30.11933333,299.294,269.4366667,0.592,19.7122,1.486666667,49.47866667,199.6733333,1599,0,102.5,19.2,0.816,1,-0.22,2.74,1,0,0.16,111115,165
4,200,30,56421.46667,38,1067.266667,0,5.094,0.450466667,155,6.733333333,1.722,28.09666667,6,1.42,1,2.84,29.27,28.09666667,30.114,199.3046667,180.3426667,0.590066667,20.41886667,1.48,51.22866667,199.64,1599,0,102.5,17.6,0.798,1,-0.22,2.74,1,0,0.16,111115,165
