"uniqueid","level","HHMMSS","variable","parameter","unit","Obs","FTime","EBal?","Photo","Cond","Ci","Trmmol","VpdL","CTleaf","Area","BLC_1","StmRat","BLCond","Tair","Tleaf","TBlk","CO2R","CO2S","H2OR","H2OS","RH_R","RH_S","Flow","PARi","PARo","Press","CsMch","HsMch","StableF","BLCslope","BLCoffst","f_parin","f_parout","alphaK","Status","n"
"2",50,56086.0666666667,NA,NA,NA,158,9004.66666666667,0,1.38933333333333,0.0250333333333333,270.866666666667,1.53,5.93133333333333,40.5173333333333,6,1.42,1,2.84,46.7773333333333,40.5173333333333,49.7753333333333,398.943333333333,392.960666666667,12.2460666666667,16.7682,11.69,16.0066666666667,199.7,1600,0,100.8,21.1,0.778,1,-0.22,2.74,1,0,0.16,111115,15
"3",0,41216.6,NA,NA,NA,8,1994.86666666667,0,1.55666666666667,0.0538666666666667,342.933333333333,0.542533333333333,1.02533333333333,10.924,6,1.42,1,2.84,3.80666666666667,10.924,0.66,401.216666666667,395.89,1.2152,2.84013333333333,15.1833333333333,35.4866666666667,199.713333333333,1600.86666666667,0,100.7,17.5,0.487,1,-0.22,2.74,1,0,0.16,111115,15
"3",5,41706.1333333333,NA,NA,NA,23,2484.66666666667,0,1.79066666666667,0.0575333333333333,336.8,0.659666666666667,1.17,13.2666666666667,6,1.42,1,2.84,7.33,13.2666666666667,4.96,400.354,394.189333333333,1.62953333333333,3.60393333333333,15.9466666666667,35.2693333333333,199.733333333333,1599,0,100.7,17.4,0.536,1,-0.22,2.74,1,0,0.16,111115,15
"3",10,42175.5333333333,NA,NA,NA,38,2954.33333333333,0,2.07,0.0589,327.8,0.802,1.38,16.3926666666667,6,1.42,1,2.84,11.636,16.3926666666667,10.03,400.221333333333,393.058,2.45033333333333,4.84793333333333,17.95,35.514,199.76,1600,0,100.7,17.6,0.582,1,-0.22,2.74,1,0,0.16,111115,15
"3",15,42702.4666666667,NA,NA,NA,53,3481.2,0,2.358,0.0610866666666667,319.6,0.983266666666667,1.63,19.71,6,1.42,1,2.84,16.1473333333333,19.71,15.1,400.110666666667,391.868666666667,3.75513333333333,6.68926666666667,20.5266666666667,36.5646666666667,199.72,1599,0,100.7,17.8,0.642,1,-0.22,2.74,1,0,0.16,111115,15
"3",20,43347.2666666667,NA,NA,NA,68,4125.86666666667,0,2.546,0.0544733333333333,304,1.07666666666667,1.99,22.8246666666667,6,1.42,1,2.84,20.41,22.8246666666667,19.97,400.002666666667,391.088666666667,4.74786666666667,7.95233333333333,19.86,33.2633333333333,199.713333333333,1599.86666666667,0,100.7,18,0.69,1,-0.22,2.74,1,0,0.16,111115,15
"3",25,43797.0666666667,NA,NA,NA,83,4575.93333333333,0,2.61466666666667,0.0474466666666667,290.266666666667,1.07,2.26266666666667,25.81,6,1.42,1,2.84,24.78,25.81,25.0373333333333,401.291333333333,392.168666666667,7.457,10.6460666666667,23.92,34.1506666666667,199.713333333333,1599,0.0666666666666667,100.7,18.2,0.737,1,-0.22,2.74,1,0,0.16,111115,15
"3",30,44268.2,NA,NA,NA,98,5047.3,0,2.618,0.0410466666666667,273.266666666667,1.08,2.60666666666667,28.832,6,1.42,1,2.84,29.172,28.832,30.12,399.746,390.617333333333,10.4926,13.6806666666667,26.0053333333333,33.908,199.713333333333,1598.93333333333,0,100.7,18.6,0.791,1,-0.22,2.74,1,0,0.16,111115,15
"3",35,44683.7333333333,NA,NA,NA,113,5462.33333333333,0,2.462,0.0346333333333333,259.933333333333,1.08,3.07,32.2566666666667,6,1.42,1,2.84,33.624,32.2566666666667,34.9506666666667,399.84,391.171333333333,14.4527333333333,17.6367333333333,27.8113333333333,33.94,199.653333333333,1600,0,100.7,19,0.825,1,-0.22,2.74,1,0,0.16,111115,15
"3",40,45267.2666666667,NA,NA,NA,128,6045.56666666667,0,1.78866666666667,0.0226733333333333,245.6,0.907,3.91,34.8993333333333,6,1.42,1,2.84,37.96,34.8993333333333,40.06,399.767333333333,393.317333333333,14.2700666666667,16.9498666666667,21.6333333333333,25.696,199.64,1600,0,100.7,19.6,0.821,1,-0.22,2.74,1,0,0.16,111115,15
"3",45,46026,NA,NA,NA,143,6804.63333333333,0,1.27266666666667,0.01606,239.666666666667,0.851933333333333,5.144,38.4093333333333,6,1.42,1,2.84,42.72,38.4093333333333,45.13,399.058666666667,394.224666666667,13.9855333333333,16.5027333333333,16.45,19.4093333333333,199.7,1600,0,100.7,20.2,0.8,1,-0.22,2.74,1,0,0.16,111115,15
"3",50,46511.9333333333,NA,NA,NA,158,7290.56666666667,0,0.997733333333333,0.0145,253.466666666667,0.892066666666667,5.94333333333333,40.4546666666667,6,1.42,1,2.84,46.772,40.4546666666667,49.8126666666667,400.220666666667,396.160666666667,13.7858,16.4218666666667,13.15,15.666,199.7,1599,0,100.7,20.6,0.779,1,-0.22,2.74,1,0,0.16,111115,15
"4",0,57285.5333333333,NA,NA,NA,8,2218.56666666667,0,3.95866666666667,0.222,351.066666666667,1.5,0.7296,10.2153333333333,6,1.42,1,2.84,3.76933333333333,10.2153333333333,0.663333333333333,399.255333333333,385.632,0.666666666666667,5.14433333333333,8.39733333333333,64.8086666666667,199.7,1601,1.46666666666667,101.2,18,0.59,1,-0.22,2.74,1,0,0.16,111115,15
"4",5,57796.0666666667,NA,NA,NA,23,2728.93333333333,0,4.46266666666667,0.191533333333333,339.666666666667,1.62066666666667,0.9072,12.6726666666667,6,1.42,1,2.84,7.25,12.6726666666667,4.95,399.610666666667,384.332,0.723666666666667,5.5736,7.16,55.1413333333333,199.753333333333,1600,2,101.2,18.2,0.596,1,-0.22,2.74,1,0,0.16,111115,15
"4",10,58229.0666666667,NA,NA,NA,38,3162.13333333333,0,5.10266666666667,0.166333333333333,324.466666666667,1.84,1.17,15.8213333333333,6,1.42,1,2.84,11.626,15.8213333333333,10.0366666666667,399.979333333333,382.531333333333,0.770133333333333,6.26053333333333,5.676,46.1393333333333,199.706666666667,1600,1.86666666666667,101.2,18.4,0.623,1,-0.22,2.74,1,0,0.16,111115,15
"4",15,58653.2,NA,NA,NA,53,3586.33333333333,0,5.55933333333333,0.152666666666667,311.266666666667,2.16,1.48866666666667,19.1193333333333,6,1.42,1,2.84,15.9926666666667,19.1193333333333,15.0946666666667,399.768,380.596666666667,0.814733333333333,7.2542,4.52,40.2546666666667,199.706666666667,1600,2,101.2,18.6,0.65,1,-0.22,2.74,1,0,0.16,111115,15
"4",20,59079.4,NA,NA,NA,68,4012,0,5.76333333333333,0.14,301,2.49,1.86,22.266,6,1.42,1,2.84,20.2706666666667,22.266,19.97,399.852,379.694,0.862,8.28653333333333,3.65666666666667,35.148,199.753333333333,1599.86666666667,1.06666666666667,101.2,19,0.686,1,-0.22,2.74,1,0,0.16,111115,15
"4",25,59498.8,NA,NA,NA,83,4432.4,0,5.618,0.122,291.666666666667,2.58933333333333,2.19,25.5813333333333,6,1.42,1,2.84,24.7086666666667,25.5813333333333,25.04,399.589333333333,379.762666666667,3.19553333333333,10.8794666666667,10.35,35.2406666666667,199.7,1599,1,101.2,19.1,0.74,0.96,-0.22,2.74,1,0,0.16,111115,15
"4",30,60056.6666666667,NA,NA,NA,98,4989.96666666667,0,5.28466666666667,0.102,281,2.63,2.63,29.1046666666667,6,1.42,1,2.84,29.23,29.1046666666667,30.1193333333333,399.608666666667,380.722,6.24206666666667,14.0288666666667,15.496,34.8286666666667,199.7,1600,0.2,101.2,19.4,0.793,1,-0.22,2.74,1,0,0.16,111115,15
"4",35,60496.0666666667,NA,NA,NA,113,5428.86666666667,0,4.754,0.0922266666666667,281.4,2.816,3.082,32.3526666666667,6,1.42,1,2.84,33.58,32.3526666666667,34.974,400.469333333333,382.938,9.3446,17.6548,18.12,34.2313333333333,199.62,1599,0,101.2,19.9,0.822,1,-0.22,2.74,1,0,0.16,111115,15
"4",40,60958.8666666667,NA,NA,NA,128,5891.63333333333,0,4.02666666666667,0.0839066666666667,284.4,3.174,3.78733333333333,35.4946666666667,6,1.42,1,2.84,38.0713333333333,35.4946666666667,40.06,399.448666666667,383.684666666667,10.5540666666667,19.9048666666667,15.9866666666667,30.148,199.626666666667,1600,0,101.2,19.9,0.822,0.78,-0.22,2.74,1,0,0.16,111115,15
"4",45,61473.3333333333,NA,NA,NA,143,6407.03333333333,0,2.772,0.0765133333333333,301.866666666667,3.61,4.68266666666667,38.474,6,1.42,1,2.84,42.6,38.474,45.13,400.416,387.878666666667,10.5987333333333,21.212,12.61,25.234,199.66,1599,0,101.2,20.6,0.794,1,-0.22,2.74,1,0,0.16,111115,15
"4",50,61955.7333333333,NA,NA,NA,158,6888.96666666667,0,1.846,0.07462,317,4.11266666666667,5.442,40.7913333333333,6,1.42,1,2.84,46.74,40.7913333333333,49.81,399.769333333333,389.408666666667,10.5567333333333,22.6378666666667,10.1393333333333,21.7373333333333,199.7,1599,0,101.2,21.3,0.77,1,-0.22,2.74,1,0,0.16,111115,15
"5",1.6,56232.1333333333,NA,NA,NA,8,3746.1,0,1.34666666666667,0.05618,351.4,0.544266666666667,0.983866666666667,10.728,6,1.42,1,2.84,4.67666666666667,10.728,1.63,400.94,396.253333333333,1.45906666666667,3.08853333333333,17.1013333333333,36.204,199.74,1600,0,100.4,17.9,0.473,1,-0.22,2.74,1,0,0.16,111115,15
"5",5,56763.2666666667,NA,NA,NA,23,4277,0,1.52066666666667,0.0607866666666667,347.6,0.653933333333333,1.09,12.6393333333333,6,1.42,1,2.84,7.43,12.6393333333333,4.95,400.101333333333,394.754666666667,1.77946666666667,3.73693333333333,17.248,36.222,199.706666666667,1599,0,100.4,17.8,0.53,1,-0.22,2.74,1,0,0.16,111115,15
"5",10,57424.4666666667,NA,NA,NA,38,4939.13333333333,0,1.75733333333333,0.0514466666666667,330.466666666667,0.676933333333333,1.33,15.8553333333333,6,1.42,1,2.84,11.68,15.8553333333333,10.03,399.83,393.750666666667,2.74273333333333,4.76633333333333,19.9733333333333,34.71,199.72,1600,0,100.4,17.9,0.582,1,-0.22,2.74,1,0,0.16,111115,15
"5",15,58155.7333333333,NA,NA,NA,53,5669.5,0,1.99533333333333,0.0368866666666667,296.466666666667,0.5978,1.62266666666667,19.3653333333333,6,1.42,1,2.84,16.18,19.3653333333333,15.0946666666667,399.662666666667,392.960666666667,4.50153333333333,6.28613333333333,24.4886666666667,34.1966666666667,199.7,1599,0,100.4,18.2,0.634,1,-0.22,2.74,1,0,0.16,111115,15
"5",20,58860.5333333333,NA,NA,NA,68,6375.3,0,2.316,0.0379533333333333,282.133333333333,0.733733333333333,1.93,22.5753333333333,6,1.42,1,2.84,20.4406666666667,22.5753333333333,19.97,399.371333333333,391.546666666667,5.9438,8.13026666666667,24.74,33.8393333333333,199.7,1600,0,100.4,18.4,0.687,1,-0.22,2.74,1,0,0.16,111115,15
"5",25,59429,NA,NA,NA,83,6942.96666666667,0,2.772,0.0467066666666667,281.2,1.026,2.19,25.7186666666667,6,1.42,1,2.84,24.83,25.7186666666667,25.04,398.949333333333,389.421333333333,8.2054,11.2507333333333,26.17,35.8833333333333,199.686666666667,1600,0,100.4,18.5,0.749,1,-0.22,2.74,1,0,0.16,111115,15
"5",30,60206.6,NA,NA,NA,98,7720.73333333333,0,3.01533333333333,0.0545666666666667,285.2,1.43,2.6,28.9073333333333,6,1.42,1,2.84,29.276,28.9073333333333,30.1193333333333,400.020666666667,389.291333333333,9.6896,13.9153333333333,23.8053333333333,34.192,199.633333333333,1599.46666666667,0,100.4,18.8,0.788,1,-0.22,2.74,1,0,0.16,111115,15
"5",35,60798.4,NA,NA,NA,113,8312.3,0,3.03266666666667,0.04838,272.333333333333,1.42,2.89933333333333,31.81,6,1.42,1,2.84,33.5086666666667,31.81,34.9906666666667,400.604,389.832,14.0217333333333,18.204,27.0913333333333,35.1733333333333,199.62,1599.4,0,100.4,19.1,0.822,1,-0.22,2.74,1,0,0.16,111115,15
"5",40,61322.0666666667,NA,NA,NA,128,8836.23333333333,0,2.83533333333333,0.04278,262.8,1.518,3.47,35.11,6,1.42,1,2.84,38.1193333333333,35.11,40.06,399.363333333333,389.068666666667,17.5661333333333,22.0208666666667,26.3313333333333,33.0086666666667,199.686666666667,1600,0,100.4,19.5,0.82,1,-0.22,2.74,1,0,0.16,111115,15
"5",45,61944.5333333333,NA,NA,NA,143,9459.03333333333,0,2.52466666666667,0.0414,266.866666666667,1.83,4.31266666666667,37.8553333333333,6,1.42,1,2.84,42.56,37.8553333333333,45.13,398.883333333333,389.151333333333,17.4300666666667,22.8115333333333,20.622,26.99,199.693333333333,1599.73333333333,0,100.4,20.1,0.794,1,-0.22,2.74,1,0,0.16,111115,15
"5",50,62541.2,NA,NA,NA,158,10055.3,0,2.13333333333333,0.04366,282,2.32,5.15,40.3866666666667,6,1.42,1,2.84,46.8273333333333,40.3866666666667,49.81,399.433333333333,390.3,17.266,24.0710666666667,16.3813333333333,22.8366666666667,199.7,1599,0,100.4,20.6,0.754,1,-0.22,2.74,1,0,0.16,111115,15
"6",0,49307.3333333333,NA,NA,NA,8,2867.9,0,4.11066666666667,0.162,338.666666666667,1.33,0.872733333333333,11.0126666666667,6,1.42,1,2.84,3.818,11.0126666666667,0.72,400.13,386.238,0.421133333333333,4.40306666666667,5.28866666666667,55.2946666666667,199.7,1601,1,101.2,18.1,0.562,1,-0.22,2.74,1,0,0.16,111115,15
"6",5,49906.9333333333,NA,NA,NA,23,3466.7,0,4.54866666666667,0.125,318.533333333333,1.31466666666667,1.1,13.43,6,1.42,1,2.84,7.332,13.43,4.96,400.31,385.130666666667,0.4462,4.37946666666667,4.39,43.096,199.713333333333,1600,1,101.2,18.2,0.573,1,-0.22,2.74,1,0,0.16,111115,15
"6",10,50585.2666666667,NA,NA,NA,38,4145,0,4.93133333333333,0.09042,286.266666666667,1.25733333333333,1.432,16.7766666666667,6,1.42,1,2.84,11.782,16.7766666666667,10.04,399.705333333333,383.448,1.0232,4.77806666666667,7.462,34.848,199.766666666667,1600,1,101.2,18.5,0.587,1,-0.22,2.74,1,0,0.16,111115,15
